libelle;taux_de_chomage_localise_par_dep;code;filename;annee;trimestre;date
2022-T4;7.5;SD;Cher;2022;10;2022-01-10
2022-T3;7.5;A;Cher;2022;7;2022-01-07
2022-T2;7.5;A;Cher;2022;4;2022-01-04
2022-T1;7.5;A;Cher;2022;1;2022-01-01
2021-T4;7.5;A;Cher;2021;10;2021-01-10
2021-T3;7.8;A;Cher;2021;7;2021-01-07
2021-T2;7.8;A;Cher;2021;4;2021-01-04
2021-T1;8.1;A;Cher;2021;1;2021-01-01
2020-T4;7.9;A;Cher;2020;10;2020-01-10
2020-T3;8.9;A;Cher;2020;7;2020-01-07
2020-T2;7.2;A;Cher;2020;4;2020-01-04
2020-T1;8.3;A;Cher;2020;1;2020-01-01
2019-T4;8.6;A;Cher;2019;10;2019-01-10
2019-T3;8.7;A;Cher;2019;7;2019-01-07
2019-T2;8.6;A;Cher;2019;4;2019-01-04
2019-T1;9.0;A;Cher;2019;1;2019-01-01
2018-T4;9.0;A;Cher;2018;10;2018-01-10
2018-T3;9.2;A;Cher;2018;7;2018-01-07
2018-T2;9.4;A;Cher;2018;4;2018-01-04
2018-T1;9.7;A;Cher;2018;1;2018-01-01
2017-T4;9.4;A;Cher;2017;10;2017-01-10
2017-T3;9.8;A;Cher;2017;7;2017-01-07
2017-T2;9.8;A;Cher;2017;4;2017-01-04
2017-T1;9.9;A;Cher;2017;1;2017-01-01
2016-T4;10.3;A;Cher;2016;10;2016-01-10
2016-T3;10.2;A;Cher;2016;7;2016-01-07
2016-T2;10.4;A;Cher;2016;4;2016-01-04
2016-T1;10.6;A;Cher;2016;1;2016-01-01
2015-T4;10.5;A;Cher;2015;10;2015-01-10
2015-T3;10.5;A;Cher;2015;7;2015-01-07
2015-T2;10.6;A;Cher;2015;4;2015-01-04
2015-T1;10.3;A;Cher;2015;1;2015-01-01
2014-T4;10.3;A;Cher;2014;10;2014-01-10
2014-T3;10.2;A;Cher;2014;7;2014-01-07
2014-T2;10.0;A;Cher;2014;4;2014-01-04
2014-T1;10.1;A;Cher;2014;1;2014-01-01
2013-T4;10.1;A;Cher;2013;10;2013-01-10
2013-T3;10.4;A;Cher;2013;7;2013-01-07
2013-T2;10.5;A;Cher;2013;4;2013-01-04
2013-T1;10.4;A;Cher;2013;1;2013-01-01
2012-T4;10.1;A;Cher;2012;10;2012-01-10
2012-T3;9.7;A;Cher;2012;7;2012-01-07
2012-T2;9.7;A;Cher;2012;4;2012-01-04
2012-T1;9.4;A;Cher;2012;1;2012-01-01
2011-T4;9.4;A;Cher;2011;10;2011-01-10
2011-T3;9.1;A;Cher;2011;7;2011-01-07
2011-T2;8.9;A;Cher;2011;4;2011-01-04
2011-T1;8.9;A;Cher;2011;1;2011-01-01
2010-T4;8.9;A;Cher;2010;10;2010-01-10
2010-T3;9.0;A;Cher;2010;7;2010-01-07
2010-T2;9.0;A;Cher;2010;4;2010-01-04
2010-T1;9.1;A;Cher;2010;1;2010-01-01
2009-T4;9.0;A;Cher;2009;10;2009-01-10
2009-T3;8.6;A;Cher;2009;7;2009-01-07
2009-T2;8.5;A;Cher;2009;4;2009-01-04
2009-T1;7.8;A;Cher;2009;1;2009-01-01
2008-T4;7.0;A;Cher;2008;10;2008-01-10
2008-T3;6.8;A;Cher;2008;7;2008-01-07
2008-T2;6.7;A;Cher;2008;4;2008-01-04
2008-T1;6.5;A;Cher;2008;1;2008-01-01
2007-T4;6.9;A;Cher;2007;10;2007-01-10
2007-T3;7.3;A;Cher;2007;7;2007-01-07
2007-T2;7.4;A;Cher;2007;4;2007-01-04
2007-T1;7.8;A;Cher;2007;1;2007-01-01
2006-T4;7.8;A;Cher;2006;10;2006-01-10
2006-T3;8.4;A;Cher;2006;7;2006-01-07
2006-T2;8.4;A;Cher;2006;4;2006-01-04
2006-T1;8.6;A;Cher;2006;1;2006-01-01
2005-T4;8.6;A;Cher;2005;10;2005-01-10
2005-T3;8.5;A;Cher;2005;7;2005-01-07
2005-T2;8.3;A;Cher;2005;4;2005-01-04
2005-T1;8.2;A;Cher;2005;1;2005-01-01
2004-T4;8.4;A;Cher;2004;10;2004-01-10
2004-T3;8.3;A;Cher;2004;7;2004-01-07
2004-T2;8.3;A;Cher;2004;4;2004-01-04
2004-T1;8.4;A;Cher;2004;1;2004-01-01
2003-T4;8.2;A;Cher;2003;10;2003-01-10
2003-T3;7.8;A;Cher;2003;7;2003-01-07
2003-T2;7.8;A;Cher;2003;4;2003-01-04
2003-T1;7.5;A;Cher;2003;1;2003-01-01
2002-T4;7.3;A;Cher;2002;10;2002-01-10
2002-T3;7.3;A;Cher;2002;7;2002-01-07
2002-T2;7.2;A;Cher;2002;4;2002-01-04
2002-T1;7.2;A;Cher;2002;1;2002-01-01
2001-T4;7.3;A;Cher;2001;10;2001-01-10
2001-T3;7.3;A;Cher;2001;7;2001-01-07
2001-T2;7.3;A;Cher;2001;4;2001-01-04
2001-T1;7.4;A;Cher;2001;1;2001-01-01
2000-T4;7.6;A;Cher;2000;10;2000-01-10
2000-T3;7.8;A;Cher;2000;7;2000-01-07
2000-T2;8.1;A;Cher;2000;4;2000-01-04
2000-T1;8.5;A;Cher;2000;1;2000-01-01
1999-T4;8.8;A;Cher;1999;10;1999-01-10
1999-T3;9.1;A;Cher;1999;7;1999-01-07
1999-T2;9.4;A;Cher;1999;4;1999-01-04
1999-T1;9.3;A;Cher;1999;1;1999-01-01
1998-T4;9.2;A;Cher;1998;10;1998-01-10
1998-T3;9.3;A;Cher;1998;7;1998-01-07
1998-T2;9.5;A;Cher;1998;4;1998-01-04
1998-T1;9.7;A;Cher;1998;1;1998-01-01
1997-T4;10.1;A;Cher;1997;10;1997-01-10
1997-T3;10.3;A;Cher;1997;7;1997-01-07
1997-T2;10.5;A;Cher;1997;4;1997-01-04
1997-T1;10.5;A;Cher;1997;1;1997-01-01
1996-T4;10.4;A;Cher;1996;10;1996-01-10
1996-T3;10.2;A;Cher;1996;7;1996-01-07
1996-T2;9.9;A;Cher;1996;4;1996-01-04
1996-T1;9.5;A;Cher;1996;1;1996-01-01
1995-T4;9.1;A;Cher;1995;10;1995-01-10
1995-T3;8.9;A;Cher;1995;7;1995-01-07
1995-T2;9.1;A;Cher;1995;4;1995-01-04
1995-T1;9.4;A;Cher;1995;1;1995-01-01
1994-T4;9.7;A;Cher;1994;10;1994-01-10
1994-T3;9.8;A;Cher;1994;7;1994-01-07
1994-T2;9.8;A;Cher;1994;4;1994-01-04
1994-T1;9.7;A;Cher;1994;1;1994-01-01
1993-T4;9.5;A;Cher;1993;10;1993-01-10
1993-T3;9.2;A;Cher;1993;7;1993-01-07
1993-T2;8.7;A;Cher;1993;4;1993-01-04
1993-T1;8.4;A;Cher;1993;1;1993-01-01
1992-T4;8.2;A;Cher;1992;10;1992-01-10
1992-T3;8.3;A;Cher;1992;7;1992-01-07
1992-T2;8.4;A;Cher;1992;4;1992-01-04
1992-T1;8.3;A;Cher;1992;1;1992-01-01
1991-T4;8.0;A;Cher;1991;10;1991-01-10
1991-T3;7.6;A;Cher;1991;7;1991-01-07
1991-T2;7.2;A;Cher;1991;4;1991-01-04
1991-T1;7.0;A;Cher;1991;1;1991-01-01
1990-T4;7.0;A;Cher;1990;10;1990-01-10
1990-T3;7.0;A;Cher;1990;7;1990-01-07
1990-T2;7.0;A;Cher;1990;4;1990-01-04
1990-T1;7.0;A;Cher;1990;1;1990-01-01
1989-T4;6.9;A;Cher;1989;10;1989-01-10
1989-T3;7.0;A;Cher;1989;7;1989-01-07
1989-T2;7.1;A;Cher;1989;4;1989-01-04
1989-T1;7.3;A;Cher;1989;1;1989-01-01
1988-T4;7.3;A;Cher;1988;10;1988-01-10
1988-T3;7.5;A;Cher;1988;7;1988-01-07
1988-T2;7.6;A;Cher;1988;4;1988-01-04
1988-T1;7.8;A;Cher;1988;1;1988-01-01
1987-T4;7.8;A;Cher;1987;10;1987-01-10
1987-T3;7.8;A;Cher;1987;7;1987-01-07
1987-T2;8.1;A;Cher;1987;4;1987-01-04
1987-T1;8.2;A;Cher;1987;1;1987-01-01
1986-T4;8.1;A;Cher;1986;10;1986-01-10
1986-T3;8.1;A;Cher;1986;7;1986-01-07
1986-T2;8.2;A;Cher;1986;4;1986-01-04
1986-T1;8.0;A;Cher;1986;1;1986-01-01
1985-T4;7.8;A;Cher;1985;10;1985-01-10
1985-T3;7.9;A;Cher;1985;7;1985-01-07
1985-T2;7.9;A;Cher;1985;4;1985-01-04
1985-T1;8.1;A;Cher;1985;1;1985-01-01
1984-T4;8.1;A;Cher;1984;10;1984-01-10
1984-T3;7.8;A;Cher;1984;7;1984-01-07
1984-T2;7.5;A;Cher;1984;4;1984-01-04
1984-T1;7.1;A;Cher;1984;1;1984-01-01
1983-T4;6.5;A;Cher;1983;10;1983-01-10
1983-T3;6.0;A;Cher;1983;7;1983-01-07
1983-T2;5.7;A;Cher;1983;4;1983-01-04
1983-T1;5.6;A;Cher;1983;1;1983-01-01
1982-T4;5.8;A;Cher;1982;10;1982-01-10
1982-T3;5.7;A;Cher;1982;7;1982-01-07
1982-T2;5.6;A;Cher;1982;4;1982-01-04
1982-T1;5.6;A;Cher;1982;1;1982-01-01
2022-T4;7.0;SD;Indre;2022;10;2022-01-10
2022-T3;7.2;A;Indre;2022;7;2022-01-07
2022-T2;7.3;A;Indre;2022;4;2022-01-04
2022-T1;7.1;A;Indre;2022;1;2022-01-01
2021-T4;7.1;A;Indre;2021;10;2021-01-10
2021-T3;7.6;A;Indre;2021;7;2021-01-07
2021-T2;7.7;A;Indre;2021;4;2021-01-04
2021-T1;7.8;A;Indre;2021;1;2021-01-01
2020-T4;7.7;A;Indre;2020;10;2020-01-10
2020-T3;8.8;A;Indre;2020;7;2020-01-07
2020-T2;7.4;A;Indre;2020;4;2020-01-04
2020-T1;7.7;A;Indre;2020;1;2020-01-01
2019-T4;8.0;A;Indre;2019;10;2019-01-10
2019-T3;8.1;A;Indre;2019;7;2019-01-07
2019-T2;8.2;A;Indre;2019;4;2019-01-04
2019-T1;8.5;A;Indre;2019;1;2019-01-01
2018-T4;8.6;A;Indre;2018;10;2018-01-10
2018-T3;8.8;A;Indre;2018;7;2018-01-07
2018-T2;8.8;A;Indre;2018;4;2018-01-04
2018-T1;9.0;A;Indre;2018;1;2018-01-01
2017-T4;8.7;A;Indre;2017;10;2017-01-10
2017-T3;9.1;A;Indre;2017;7;2017-01-07
2017-T2;9.3;A;Indre;2017;4;2017-01-04
2017-T1;9.4;A;Indre;2017;1;2017-01-01
2016-T4;9.8;A;Indre;2016;10;2016-01-10
2016-T3;9.7;A;Indre;2016;7;2016-01-07
2016-T2;9.8;A;Indre;2016;4;2016-01-04
2016-T1;9.8;A;Indre;2016;1;2016-01-01
2015-T4;9.7;A;Indre;2015;10;2015-01-10
2015-T3;9.8;A;Indre;2015;7;2015-01-07
2015-T2;9.7;A;Indre;2015;4;2015-01-04
2015-T1;9.5;A;Indre;2015;1;2015-01-01
2014-T4;9.6;A;Indre;2014;10;2014-01-10
2014-T3;9.5;A;Indre;2014;7;2014-01-07
2014-T2;9.5;A;Indre;2014;4;2014-01-04
2014-T1;9.4;A;Indre;2014;1;2014-01-01
2013-T4;9.2;A;Indre;2013;10;2013-01-10
2013-T3;9.4;A;Indre;2013;7;2013-01-07
2013-T2;9.5;A;Indre;2013;4;2013-01-04
2013-T1;9.4;A;Indre;2013;1;2013-01-01
2012-T4;9.2;A;Indre;2012;10;2012-01-10
2012-T3;8.9;A;Indre;2012;7;2012-01-07
2012-T2;8.7;A;Indre;2012;4;2012-01-04
2012-T1;8.5;A;Indre;2012;1;2012-01-01
2011-T4;8.3;A;Indre;2011;10;2011-01-10
2011-T3;8.1;A;Indre;2011;7;2011-01-07
2011-T2;7.9;A;Indre;2011;4;2011-01-04
2011-T1;7.9;A;Indre;2011;1;2011-01-01
2010-T4;7.9;A;Indre;2010;10;2010-01-10
2010-T3;7.9;A;Indre;2010;7;2010-01-07
2010-T2;8.3;A;Indre;2010;4;2010-01-04
2010-T1;8.3;A;Indre;2010;1;2010-01-01
2009-T4;8.3;A;Indre;2009;10;2009-01-10
2009-T3;7.9;A;Indre;2009;7;2009-01-07
2009-T2;8.0;A;Indre;2009;4;2009-01-04
2009-T1;7.5;A;Indre;2009;1;2009-01-01
2008-T4;6.7;A;Indre;2008;10;2008-01-10
2008-T3;6.3;A;Indre;2008;7;2008-01-07
2008-T2;6.0;A;Indre;2008;4;2008-01-04
2008-T1;5.7;A;Indre;2008;1;2008-01-01
2007-T4;6.1;A;Indre;2007;10;2007-01-10
2007-T3;6.6;A;Indre;2007;7;2007-01-07
2007-T2;6.8;A;Indre;2007;4;2007-01-04
2007-T1;7.2;A;Indre;2007;1;2007-01-01
2006-T4;7.4;A;Indre;2006;10;2006-01-10
2006-T3;7.9;A;Indre;2006;7;2006-01-07
2006-T2;8.2;A;Indre;2006;4;2006-01-04
2006-T1;8.1;A;Indre;2006;1;2006-01-01
2005-T4;8.0;A;Indre;2005;10;2005-01-10
2005-T3;7.9;A;Indre;2005;7;2005-01-07
2005-T2;7.7;A;Indre;2005;4;2005-01-04
2005-T1;7.7;A;Indre;2005;1;2005-01-01
2004-T4;7.9;A;Indre;2004;10;2004-01-10
2004-T3;7.5;A;Indre;2004;7;2004-01-07
2004-T2;7.3;A;Indre;2004;4;2004-01-04
2004-T1;7.6;A;Indre;2004;1;2004-01-01
2003-T4;7.5;A;Indre;2003;10;2003-01-10
2003-T3;7.1;A;Indre;2003;7;2003-01-07
2003-T2;7.1;A;Indre;2003;4;2003-01-04
2003-T1;6.8;A;Indre;2003;1;2003-01-01
2002-T4;6.5;A;Indre;2002;10;2002-01-10
2002-T3;6.5;A;Indre;2002;7;2002-01-07
2002-T2;6.5;A;Indre;2002;4;2002-01-04
2002-T1;6.6;A;Indre;2002;1;2002-01-01
2001-T4;6.6;A;Indre;2001;10;2001-01-10
2001-T3;6.6;A;Indre;2001;7;2001-01-07
2001-T2;6.6;A;Indre;2001;4;2001-01-04
2001-T1;6.7;A;Indre;2001;1;2001-01-01
2000-T4;6.8;A;Indre;2000;10;2000-01-10
2000-T3;6.9;A;Indre;2000;7;2000-01-07
2000-T2;7.1;A;Indre;2000;4;2000-01-04
2000-T1;7.4;A;Indre;2000;1;2000-01-01
1999-T4;7.8;A;Indre;1999;10;1999-01-10
1999-T3;8.2;A;Indre;1999;7;1999-01-07
1999-T2;8.5;A;Indre;1999;4;1999-01-04
1999-T1;8.6;A;Indre;1999;1;1999-01-01
1998-T4;8.6;A;Indre;1998;10;1998-01-10
1998-T3;8.5;A;Indre;1998;7;1998-01-07
1998-T2;8.5;A;Indre;1998;4;1998-01-04
1998-T1;8.5;A;Indre;1998;1;1998-01-01
1997-T4;8.6;A;Indre;1997;10;1997-01-10
1997-T3;8.9;A;Indre;1997;7;1997-01-07
1997-T2;9.0;A;Indre;1997;4;1997-01-04
1997-T1;9.1;A;Indre;1997;1;1997-01-01
1996-T4;9.0;A;Indre;1996;10;1996-01-10
1996-T3;8.8;A;Indre;1996;7;1996-01-07
1996-T2;8.6;A;Indre;1996;4;1996-01-04
1996-T1;8.4;A;Indre;1996;1;1996-01-01
1995-T4;8.1;A;Indre;1995;10;1995-01-10
1995-T3;7.9;A;Indre;1995;7;1995-01-07
1995-T2;8.0;A;Indre;1995;4;1995-01-04
1995-T1;8.3;A;Indre;1995;1;1995-01-01
1994-T4;8.8;A;Indre;1994;10;1994-01-10
1994-T3;9.1;A;Indre;1994;7;1994-01-07
1994-T2;9.1;A;Indre;1994;4;1994-01-04
1994-T1;9.0;A;Indre;1994;1;1994-01-01
1993-T4;8.9;A;Indre;1993;10;1993-01-10
1993-T3;8.6;A;Indre;1993;7;1993-01-07
1993-T2;8.3;A;Indre;1993;4;1993-01-04
1993-T1;8.1;A;Indre;1993;1;1993-01-01
1992-T4;8.0;A;Indre;1992;10;1992-01-10
1992-T3;7.9;A;Indre;1992;7;1992-01-07
1992-T2;7.8;A;Indre;1992;4;1992-01-04
1992-T1;7.7;A;Indre;1992;1;1992-01-01
1991-T4;7.3;A;Indre;1991;10;1991-01-10
1991-T3;7.1;A;Indre;1991;7;1991-01-07
1991-T2;6.8;A;Indre;1991;4;1991-01-04
1991-T1;6.7;A;Indre;1991;1;1991-01-01
1990-T4;6.8;A;Indre;1990;10;1990-01-10
1990-T3;6.9;A;Indre;1990;7;1990-01-07
1990-T2;7.0;A;Indre;1990;4;1990-01-04
1990-T1;7.2;A;Indre;1990;1;1990-01-01
1989-T4;7.2;A;Indre;1989;10;1989-01-10
1989-T3;7.2;A;Indre;1989;7;1989-01-07
1989-T2;7.3;A;Indre;1989;4;1989-01-04
1989-T1;7.5;A;Indre;1989;1;1989-01-01
1988-T4;7.8;A;Indre;1988;10;1988-01-10
1988-T3;8.0;A;Indre;1988;7;1988-01-07
1988-T2;7.9;A;Indre;1988;4;1988-01-04
1988-T1;8.2;A;Indre;1988;1;1988-01-01
1987-T4;8.4;A;Indre;1987;10;1987-01-10
1987-T3;8.6;A;Indre;1987;7;1987-01-07
1987-T2;8.8;A;Indre;1987;4;1987-01-04
1987-T1;8.6;A;Indre;1987;1;1987-01-01
1986-T4;8.5;A;Indre;1986;10;1986-01-10
1986-T3;8.6;A;Indre;1986;7;1986-01-07
1986-T2;8.7;A;Indre;1986;4;1986-01-04
1986-T1;8.5;A;Indre;1986;1;1986-01-01
1985-T4;8.5;A;Indre;1985;10;1985-01-10
1985-T3;8.4;A;Indre;1985;7;1985-01-07
1985-T2;8.2;A;Indre;1985;4;1985-01-04
1985-T1;8.5;A;Indre;1985;1;1985-01-01
1984-T4;8.4;A;Indre;1984;10;1984-01-10
1984-T3;8.1;A;Indre;1984;7;1984-01-07
1984-T2;7.9;A;Indre;1984;4;1984-01-04
1984-T1;7.4;A;Indre;1984;1;1984-01-01
1983-T4;6.8;A;Indre;1983;10;1983-01-10
1983-T3;6.4;A;Indre;1983;7;1983-01-07
1983-T2;6.1;A;Indre;1983;4;1983-01-04
1983-T1;5.9;A;Indre;1983;1;1983-01-01
1982-T4;5.9;A;Indre;1982;10;1982-01-10
1982-T3;5.9;A;Indre;1982;7;1982-01-07
1982-T2;5.7;A;Indre;1982;4;1982-01-04
1982-T1;5.5;A;Indre;1982;1;1982-01-01
2022-T4;6.4;SD;Indre-et-Loire;2022;10;2022-01-10
2022-T3;6.5;A;Indre-et-Loire;2022;7;2022-01-07
2022-T2;6.6;A;Indre-et-Loire;2022;4;2022-01-04
2022-T1;6.4;A;Indre-et-Loire;2022;1;2022-01-01
2021-T4;6.3;A;Indre-et-Loire;2021;10;2021-01-10
2021-T3;6.9;A;Indre-et-Loire;2021;7;2021-01-07
2021-T2;7.0;A;Indre-et-Loire;2021;4;2021-01-04
2021-T1;7.2;A;Indre-et-Loire;2021;1;2021-01-01
2020-T4;7.0;A;Indre-et-Loire;2020;10;2020-01-10
2020-T3;7.9;A;Indre-et-Loire;2020;7;2020-01-07
2020-T2;6.7;A;Indre-et-Loire;2020;4;2020-01-04
2020-T1;7.1;A;Indre-et-Loire;2020;1;2020-01-01
2019-T4;7.5;A;Indre-et-Loire;2019;10;2019-01-10
2019-T3;7.7;A;Indre-et-Loire;2019;7;2019-01-07
2019-T2;7.7;A;Indre-et-Loire;2019;4;2019-01-04
2019-T1;8.0;A;Indre-et-Loire;2019;1;2019-01-01
2018-T4;7.9;A;Indre-et-Loire;2018;10;2018-01-10
2018-T3;8.1;A;Indre-et-Loire;2018;7;2018-01-07
2018-T2;8.2;A;Indre-et-Loire;2018;4;2018-01-04
2018-T1;8.3;A;Indre-et-Loire;2018;1;2018-01-01
2017-T4;8.1;A;Indre-et-Loire;2017;10;2017-01-10
2017-T3;8.5;A;Indre-et-Loire;2017;7;2017-01-07
2017-T2;8.7;A;Indre-et-Loire;2017;4;2017-01-04
2017-T1;8.7;A;Indre-et-Loire;2017;1;2017-01-01
2016-T4;9.1;A;Indre-et-Loire;2016;10;2016-01-10
2016-T3;9.0;A;Indre-et-Loire;2016;7;2016-01-07
2016-T2;9.1;A;Indre-et-Loire;2016;4;2016-01-04
2016-T1;9.3;A;Indre-et-Loire;2016;1;2016-01-01
2015-T4;9.2;A;Indre-et-Loire;2015;10;2015-01-10
2015-T3;9.3;A;Indre-et-Loire;2015;7;2015-01-07
2015-T2;9.4;A;Indre-et-Loire;2015;4;2015-01-04
2015-T1;9.2;A;Indre-et-Loire;2015;1;2015-01-01
2014-T4;9.4;A;Indre-et-Loire;2014;10;2014-01-10
2014-T3;9.2;A;Indre-et-Loire;2014;7;2014-01-07
2014-T2;9.0;A;Indre-et-Loire;2014;4;2014-01-04
2014-T1;8.9;A;Indre-et-Loire;2014;1;2014-01-01
2013-T4;8.9;A;Indre-et-Loire;2013;10;2013-01-10
2013-T3;9.0;A;Indre-et-Loire;2013;7;2013-01-07
2013-T2;9.1;A;Indre-et-Loire;2013;4;2013-01-04
2013-T1;9.0;A;Indre-et-Loire;2013;1;2013-01-01
2012-T4;8.8;A;Indre-et-Loire;2012;10;2012-01-10
2012-T3;8.5;A;Indre-et-Loire;2012;7;2012-01-07
2012-T2;8.3;A;Indre-et-Loire;2012;4;2012-01-04
2012-T1;8.1;A;Indre-et-Loire;2012;1;2012-01-01
2011-T4;7.9;A;Indre-et-Loire;2011;10;2011-01-10
2011-T3;7.8;A;Indre-et-Loire;2011;7;2011-01-07
2011-T2;7.6;A;Indre-et-Loire;2011;4;2011-01-04
2011-T1;7.7;A;Indre-et-Loire;2011;1;2011-01-01
2010-T4;7.8;A;Indre-et-Loire;2010;10;2010-01-10
2010-T3;7.9;A;Indre-et-Loire;2010;7;2010-01-07
2010-T2;8.0;A;Indre-et-Loire;2010;4;2010-01-04
2010-T1;8.0;A;Indre-et-Loire;2010;1;2010-01-01
2009-T4;8.1;A;Indre-et-Loire;2009;10;2009-01-10
2009-T3;7.7;A;Indre-et-Loire;2009;7;2009-01-07
2009-T2;7.8;A;Indre-et-Loire;2009;4;2009-01-04
2009-T1;7.3;A;Indre-et-Loire;2009;1;2009-01-01
2008-T4;6.5;A;Indre-et-Loire;2008;10;2008-01-10
2008-T3;6.2;A;Indre-et-Loire;2008;7;2008-01-07
2008-T2;6.1;A;Indre-et-Loire;2008;4;2008-01-04
2008-T1;5.9;A;Indre-et-Loire;2008;1;2008-01-01
2007-T4;6.2;A;Indre-et-Loire;2007;10;2007-01-10
2007-T3;6.5;A;Indre-et-Loire;2007;7;2007-01-07
2007-T2;6.7;A;Indre-et-Loire;2007;4;2007-01-04
2007-T1;7.0;A;Indre-et-Loire;2007;1;2007-01-01
2006-T4;7.0;A;Indre-et-Loire;2006;10;2006-01-10
2006-T3;7.4;A;Indre-et-Loire;2006;7;2006-01-07
2006-T2;7.5;A;Indre-et-Loire;2006;4;2006-01-04
2006-T1;7.7;A;Indre-et-Loire;2006;1;2006-01-01
2005-T4;7.7;A;Indre-et-Loire;2005;10;2005-01-10
2005-T3;7.6;A;Indre-et-Loire;2005;7;2005-01-07
2005-T2;7.4;A;Indre-et-Loire;2005;4;2005-01-04
2005-T1;7.3;A;Indre-et-Loire;2005;1;2005-01-01
2004-T4;7.5;A;Indre-et-Loire;2004;10;2004-01-10
2004-T3;7.5;A;Indre-et-Loire;2004;7;2004-01-07
2004-T2;7.4;A;Indre-et-Loire;2004;4;2004-01-04
2004-T1;7.6;A;Indre-et-Loire;2004;1;2004-01-01
2003-T4;7.5;A;Indre-et-Loire;2003;10;2003-01-10
2003-T3;7.0;A;Indre-et-Loire;2003;7;2003-01-07
2003-T2;7.1;A;Indre-et-Loire;2003;4;2003-01-04
2003-T1;6.8;A;Indre-et-Loire;2003;1;2003-01-01
2002-T4;6.5;A;Indre-et-Loire;2002;10;2002-01-10
2002-T3;6.5;A;Indre-et-Loire;2002;7;2002-01-07
2002-T2;6.5;A;Indre-et-Loire;2002;4;2002-01-04
2002-T1;6.5;A;Indre-et-Loire;2002;1;2002-01-01
2001-T4;6.4;A;Indre-et-Loire;2001;10;2001-01-10
2001-T3;6.4;A;Indre-et-Loire;2001;7;2001-01-07
2001-T2;6.4;A;Indre-et-Loire;2001;4;2001-01-04
2001-T1;6.5;A;Indre-et-Loire;2001;1;2001-01-01
2000-T4;6.8;A;Indre-et-Loire;2000;10;2000-01-10
2000-T3;7.1;A;Indre-et-Loire;2000;7;2000-01-07
2000-T2;7.4;A;Indre-et-Loire;2000;4;2000-01-04
2000-T1;7.8;A;Indre-et-Loire;2000;1;2000-01-01
1999-T4;8.2;A;Indre-et-Loire;1999;10;1999-01-10
1999-T3;8.7;A;Indre-et-Loire;1999;7;1999-01-07
1999-T2;9.1;A;Indre-et-Loire;1999;4;1999-01-04
1999-T1;9.2;A;Indre-et-Loire;1999;1;1999-01-01
1998-T4;9.2;A;Indre-et-Loire;1998;10;1998-01-10
1998-T3;9.2;A;Indre-et-Loire;1998;7;1998-01-07
1998-T2;9.3;A;Indre-et-Loire;1998;4;1998-01-04
1998-T1;9.4;A;Indre-et-Loire;1998;1;1998-01-01
1997-T4;9.7;A;Indre-et-Loire;1997;10;1997-01-10
1997-T3;9.8;A;Indre-et-Loire;1997;7;1997-01-07
1997-T2;9.9;A;Indre-et-Loire;1997;4;1997-01-04
1997-T1;10.0;A;Indre-et-Loire;1997;1;1997-01-01
1996-T4;9.9;A;Indre-et-Loire;1996;10;1996-01-10
1996-T3;9.8;A;Indre-et-Loire;1996;7;1996-01-07
1996-T2;9.7;A;Indre-et-Loire;1996;4;1996-01-04
1996-T1;9.5;A;Indre-et-Loire;1996;1;1996-01-01
1995-T4;9.2;A;Indre-et-Loire;1995;10;1995-01-10
1995-T3;9.1;A;Indre-et-Loire;1995;7;1995-01-07
1995-T2;9.3;A;Indre-et-Loire;1995;4;1995-01-04
1995-T1;9.5;A;Indre-et-Loire;1995;1;1995-01-01
1994-T4;9.8;A;Indre-et-Loire;1994;10;1994-01-10
1994-T3;9.9;A;Indre-et-Loire;1994;7;1994-01-07
1994-T2;10.0;A;Indre-et-Loire;1994;4;1994-01-04
1994-T1;10.0;A;Indre-et-Loire;1994;1;1994-01-01
1993-T4;9.9;A;Indre-et-Loire;1993;10;1993-01-10
1993-T3;9.6;A;Indre-et-Loire;1993;7;1993-01-07
1993-T2;9.2;A;Indre-et-Loire;1993;4;1993-01-04
1993-T1;8.9;A;Indre-et-Loire;1993;1;1993-01-01
1992-T4;8.7;A;Indre-et-Loire;1992;10;1992-01-10
1992-T3;8.4;A;Indre-et-Loire;1992;7;1992-01-07
1992-T2;8.3;A;Indre-et-Loire;1992;4;1992-01-04
1992-T1;8.1;A;Indre-et-Loire;1992;1;1992-01-01
1991-T4;7.8;A;Indre-et-Loire;1991;10;1991-01-10
1991-T3;7.5;A;Indre-et-Loire;1991;7;1991-01-07
1991-T2;7.2;A;Indre-et-Loire;1991;4;1991-01-04
1991-T1;7.1;A;Indre-et-Loire;1991;1;1991-01-01
1990-T4;7.2;A;Indre-et-Loire;1990;10;1990-01-10
1990-T3;7.3;A;Indre-et-Loire;1990;7;1990-01-07
1990-T2;7.3;A;Indre-et-Loire;1990;4;1990-01-04
1990-T1;7.5;A;Indre-et-Loire;1990;1;1990-01-01
1989-T4;7.7;A;Indre-et-Loire;1989;10;1989-01-10
1989-T3;7.6;A;Indre-et-Loire;1989;7;1989-01-07
1989-T2;7.7;A;Indre-et-Loire;1989;4;1989-01-04
1989-T1;7.9;A;Indre-et-Loire;1989;1;1989-01-01
1988-T4;8.2;A;Indre-et-Loire;1988;10;1988-01-10
1988-T3;8.5;A;Indre-et-Loire;1988;7;1988-01-07
1988-T2;8.6;A;Indre-et-Loire;1988;4;1988-01-04
1988-T1;8.8;A;Indre-et-Loire;1988;1;1988-01-01
